snapshot_at,sprint,project_title,item_id,item_type,issue_number,title,status,assignees,state,labels,url,item_updated_at
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2eeuc,Issue,15,Exportar snapshot GraphQL do board (Lab01S01),Done,CaioVKodato,CLOSED,infra;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/15,2026-08-14T00:45:39Z
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2bvbI,Issue,8,"Extrair e validar RQ04–RQ06 (última atualização, linguagem, % issues)",Done,CaioVKodato,CLOSED,coleta;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/8,2026-08-14T00:15:58Z
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2b0AI,Issue,9,Definir fonte de linguagens populares e garantir campos da RQ07 na coleta,Done,Henrique-volponi,CLOSED,coleta;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/9,2026-08-14T00:21:53Z
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2bmAc,Issue,1,Criar repositório do grupo e estrutura de pastas,Done,CaioVKodato,CLOSED,infra;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/1,2026-08-13T18:40:43Z
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2bq2Q,Issue,7,"Extrair e validar RQ01–RQ03 (idade, PRs aceitas, releases)",Done,Henrique-volponi,CLOSED,coleta;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/7,2026-08-13T23:56:58Z
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2bqIw,Issue,6,Exportar resultado para CSV,Done,Henrique-volponi,CLOSED,coleta;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/6,2026-08-13T23:46:05Z
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2bmVI,Issue,2,Criar GitHub Projects (v2) com colunas e limite de WIP,Done,CaioVKodato,CLOSED,infra;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/2,2026-08-13T18:40:45Z
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2boDM,Issue,3,Configurar autenticação e cliente HTTP GraphQL,Done,CaioVKodato,CLOSED,infra;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/3,2026-08-13T19:53:48Z
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2boP4,Issue,4,Implementar requisição automática com retry e leitura de rateLimit,Done,CaioVKodato,CLOSED,infra;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/4,2026-08-13T19:53:28Z
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2eMec,PullRequest,10,#5 Integrar campos das RQs em uma query GraphQL única,Done,,MERGED,,https://github.com/CaioVKodato/lab-experimentacao-software/pull/10,2026-08-13T23:39:22Z
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2bpqQ,Issue,5,Integrar campos das RQs em uma query GraphQL única,Done,Henrique-volponi,CLOSED,coleta;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/5,2026-08-13T23:39:57Z
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2eOYA,PullRequest,11,#6 Exportar resultado para CSV,Done,,MERGED,,https://github.com/CaioVKodato/lab-experimentacao-software/pull/11,2026-08-13T23:45:48Z
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2eSDA,PullRequest,12,"#7  Extrair e validar RQ01–RQ03 (idade, PRs aceitas, releases)",Done,,MERGED,,https://github.com/CaioVKodato/lab-experimentacao-software/pull/12,2026-08-13T23:56:50Z
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2eaYU,PullRequest,14,#9 Definir fonte de linguagens populares e garantir campos da RQ07 na coleta,Done,,MERGED,,https://github.com/CaioVKodato/lab-experimentacao-software/pull/14,2026-08-14T00:21:43Z
2026-08-13T23:26:44-03:00,Lab01S01,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2elNM,Issue,17,RQ extra: popularidade (stars) se correlaciona com % de issues fechadas?,Backlog,Henrique-volponi,OPEN,coleta;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/17,2026-08-14T01:02:44Z
