snapshot_at,sprint,project_title,item_id,item_type,issue_number,title,status,assignees,state,labels,url,item_updated_at
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg3WOOs,Issue,19,Paginar coleta GraphQL para 1000 repositórios e gerar CSV,Review,CaioVKodato,OPEN,coleta;S02,https://github.com/CaioVKodato/lab-experimentacao-software/issues/19,2026-08-20T23:26:42Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg3WPBM,Issue,20,Validar dados dos 1000 repos — RQ01 e RQ02,Review,Henrique-volponi,OPEN,coleta;S02,https://github.com/CaioVKodato/lab-experimentacao-software/issues/20,2026-08-21T02:18:20Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg3WPVg,Issue,21,Validar dados dos 1000 repos — fatia RQ04 e RQ05,Review,Henrique-volponi,OPEN,coleta;S02,https://github.com/CaioVKodato/lab-experimentacao-software/issues/21,2026-08-21T02:18:21Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg3WPhg,Issue,22,Validar dados dos 1000 repos — fatia RQ03 e RQ06,Review,Henrique-volponi,OPEN,coleta;S02,https://github.com/CaioVKodato/lab-experimentacao-software/issues/22,2026-08-21T02:18:22Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg3WP4M,Issue,23,Escrever hipótese informal — RQ01 e RQ02,Review,Kjonps,OPEN,S02;relatório,https://github.com/CaioVKodato/lab-experimentacao-software/issues/23,2026-08-21T02:18:29Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg3WSX8,Issue,24,Escrever hipótese informal — RQ04 e RQ05,Review,Kjonps,OPEN,S02;relatório,https://github.com/CaioVKodato/lab-experimentacao-software/issues/24,2026-08-21T02:18:30Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg3WSrA,Issue,25,"Escrever hipótese informal — RQ03, RQ06 e nota da RQ07",Review,Kjonps,OPEN,S02;relatório,https://github.com/CaioVKodato/lab-experimentacao-software/issues/25,2026-08-21T02:18:32Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg3WTOI,Issue,26,Montar primeira versão do relatório (esqueleto + hipóteses),Todo,CaioVKodato,OPEN,S02;relatório,https://github.com/CaioVKodato/lab-experimentacao-software/issues/26,2026-08-20T18:00:34Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg3WTeM,Issue,27,Exportar snapshot GraphQL do board (Lab01S02),Todo,CaioVKodato,OPEN,infra;S02,https://github.com/CaioVKodato/lab-experimentacao-software/issues/27,2026-08-20T18:00:36Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2elNM,Issue,17,RQ extra: popularidade (stars) se correlaciona com % de issues fechadas?,Done,Henrique-volponi,CLOSED,coleta;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/17,2026-08-14T02:30:34Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2bvbI,Issue,8,"Extrair e validar RQ04–RQ06 (última atualização, linguagem, % issues)",Done,CaioVKodato,CLOSED,coleta;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/8,2026-08-14T00:15:58Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2b0AI,Issue,9,Definir fonte de linguagens populares e garantir campos da RQ07 na coleta,Done,Henrique-volponi,CLOSED,coleta;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/9,2026-08-14T00:21:53Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2eeuc,Issue,15,Exportar snapshot GraphQL do board (Lab01S01),Done,CaioVKodato,CLOSED,infra;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/15,2026-08-14T02:30:56Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2bmAc,Issue,1,Criar repositório do grupo e estrutura de pastas,Done,CaioVKodato,CLOSED,infra;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/1,2026-08-13T18:40:43Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2bq2Q,Issue,7,"Extrair e validar RQ01–RQ03 (idade, PRs aceitas, releases)",Done,Henrique-volponi,CLOSED,coleta;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/7,2026-08-13T23:56:58Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2bqIw,Issue,6,Exportar resultado para CSV,Done,Henrique-volponi,CLOSED,coleta;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/6,2026-08-13T23:46:05Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2bmVI,Issue,2,Criar GitHub Projects (v2) com colunas e limite de WIP,Done,CaioVKodato,CLOSED,infra;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/2,2026-08-13T18:40:45Z
2026-08-21T00:52:39-03:00,Lab01S02,Lab Experimentação de Software,PVTI_lAHOCYFqRc4BgRutzg2boDM,Issue,3,Configurar autenticação e cliente HTTP GraphQL,Done,CaioVKodato,CLOSED,infra;S01,https://github.com/CaioVKodato/lab-experimentacao-software/issues/3,2026-08-13T19:53:48Z
